what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649797908
error,log,,,"Error in JDT Core during AST creation",1341649797908
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter three points for the triangle: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3), 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649797917
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649797918
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter three points for the triangle: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3), 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649797925
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649797926
error,log,,,"Error in JDT Core during AST creation",1341649797926
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter three points for the triangle: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3), 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649797934
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649797935
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter three points for the triangle: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3), 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649797941
