what,kind,bundleId,bundleVersion,description,time
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter x1 and y1: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x2 and y2: "");\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x3 and y3: "");\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3) 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649708309
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649708310
error,log,,,"Error in JDT Core during AST creation",1341649708310
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter x1 and y1: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x2 and y2: "");\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x3 and y3: "");\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3) 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649709026
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649709026
error,log,,,"Error in JDT Core during AST creation",1341649709027
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter x1 and y1: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x2 and y2: "");\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x3 and y3: "");\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3), 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649712323
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649712324
error,log,,,"Error in JDT Core during reconcile",1341649712324
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter x1 and y1: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x2 and y2: "");\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x3 and y3: "");\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3), 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649712332
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649712333
error,log,,,"Error in JDT Core during AST creation",1341649712333
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter x1 and y1: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x2 and y2: "");\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x3 and y3: "");\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3), 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649715731
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649715732
error,log,,,"Error in JDT Core during AST creation",1341649715732
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter x1 and y1: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x2 and y2: "");\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x3 and y3: "");\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3), 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649717445
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649717446
error,log,,,"Error in JDT Core during AST creation",1341649717447
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage ComprehensiveExersises;\r\n\r\nimport java.util.Scanner;\r\n\r\npublic class AreaOfTriangle_21 \r\n{\r\n\tpublic static void main(String[] args) \r\n\t{\r\n\t\tScanner input = new Scanner(System.in);\r\n\t\tSystem.out.println(""Enter x1 and y1: "");\r\n\t\tdouble x1 = input.nextDouble();\r\n\t\tdouble y1 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x2 and y2: "");\r\n\t\tdouble x2 = input.nextDouble();\r\n\t\tdouble y2 = input.nextDouble();\r\n\t\tSystem.out.println(""Enter x3 and y3: "");\r\n\t\tdouble x3 = input.nextDouble();\r\n\t\tdouble y3 = input.nextDouble();\r\n\t\t\r\n\t\tdouble side1 = Math.pow( Math.pow(x2 - x1, 2) + ( Math.pow (y2 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side1);\r\n\t\tdouble side2 = Math.pow( Math.pow(x3 - x1, 2) + ( Math.pow (y3 - y1, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side2);\r\n\t\tdouble side3 = Math.pow( Math.pow(x1 - x3, 2) + ( Math.pow (y1 - y3, 2)), 0.5);\r\n\t\tSystem.out.println(""The distance of the two points is: "" + side3);\r\n\t\t\r\n\t\tdouble s = (side1 + side2 + side3)/2;\r\n\t\t\r\n\t\tdouble area = Math.pow( Math.pow(s*(s-side1)(s - side2)(s - side3), 0.5));\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t\t\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1341649719342
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1341649719344
error,log,,,"Error in JDT Core during reconcile",1341649719346
